Date,rank,song_id,title,artist,genre,genre_coding,date_coding
201501,25,5553915,그린라이트 (Green Light),라디 (Ra. D),R&B / Soul,2,1
201501,26,5549372,My Love,에디킴,Folk,1,1
201501,27,5473834,시간아 천천히,이진아,Ballad,0,1
201501,28,4843704,너를 사랑해,윤미래,Drama,4,1
201501,29,505376,이별택시,김연우,Ballad,0,1
201501,30,5555754,봄,다비치,Ballad,0,1
201501,31,5555752,행복해서 미안해,다비치,Ballad,0,1
201501,32,4743560,Lost Stars,Adam Levine (Maroon 5),Foreign Movie,8,1
201501,33,5524157,"햇살이 아파 (Feat. 마마무 `휘인`, 오브로젝트 `윤닭`)",스탠딩 에그,Folk,1,1
201501,34,5482636,잊지 말기로 해 (Bonus Track),성시경,Ballad,0,1
201501,35,4446485,너의 모든 순간,성시경,Drama,4,1
201501,36,4210187,이대로도 예뻐 (With 임동현),타코앤제이형,Rap / Hip-hop,5,1
201501,37,5536209,마지막인 것처럼,노을,Ballad,0,1
201501,38,5476552,니가 모르게 (You Don`t Know),로꼬,Rap / Hip-hop,5,1
201501,39,5470601,"집 밥 (Feat. 긱스, 이희선여사)",김범수,Ballad,0,1
201501,40,4703206,오빠라고 불러줬으면,테이커스,R&B / Soul,2,1
201501,41,4467085,"사랑노래 같은 이별노래 (Feat. 한올, 리와인)",어쿠루브,Folk,1,1
201501,42,83437,여전히 아름다운지,김연우,Ballad,0,1
201501,43,5555750,두 여자의 방,다비치,Ballad,0,1
201501,44,5549373,Apologize,에디킴,Folk,1,1
201501,45,5526572,우리 한번 만나볼래요,BUMZU,Folk,1,1
201501,46,5518502,우리 이야기,재주소년,Folk,1,1
201501,47,4796460,You`re My Best Friend,The Once,Drama,4,1
201501,48,5531227,화 (Feat. 진실 Of Mad Soul Child) (Fire),매드클라운,Rap / Hip-hop,5,1
201501,49,5484485,엄마로 산다는 것은,이설아,Ballad,0,1
201501,50,5439975,잡지 않았어,어쿠루브,Folk,1,1
201502,1,5576417,같은 시간 속의 너,나얼,R&B / Soul,2,2
201502,2,5584400,사랑은 미친짓 (Feat. 칸토 of 트로이),"15& (박지민, 백예린)",R&B / Soul,2,2
201502,3,5562526,Duet,이지형,Rock,3,2
201502,4,3813657,"입장정리 (Feat. 최자, Simon D)",프라이머리,Rap / Hip-hop,5,2
201502,5,5536206,목소리,노을,Ballad,0,2
201502,6,4764927,보기 드문 여자,블락비 (Block B),Dance,7,2
201502,7,5439395,언제쯤이면 (Duet.아이유),윤현상,Ballad,0,2
201502,8,5551234,슬픔 속에 그댈 지워야만 해,정승환,Ballad,0,2
